cohort,exposure,exposure_value,transition,n,pct
CHARLS,internet_use,exposed,declined,412,11.315572644877781
CHARLS,internet_use,exposed,improved,432,11.864872287833013
CHARLS,internet_use,exposed,maintained_healthy,1809,49.68415270530075
CHARLS,internet_use,exposed,remained_unhealthy,988,27.135402361988465
CHARLS,internet_use,unexposed,declined,5531,13.058670759060323
CHARLS,internet_use,unexposed,improved,5018,11.847479636406563
CHARLS,internet_use,unexposed,maintained_healthy,11849,27.97544563805926
CHARLS,internet_use,unexposed,remained_unhealthy,19957,47.118403966473856
ELSA,internet_use,exposed,declined,1302,8.703790360318203
ELSA,internet_use,exposed,improved,858,5.735677518550705
ELSA,internet_use,exposed,maintained_healthy,10514,70.28544688816098
ELSA,internet_use,exposed,remained_unhealthy,2285,15.275085232970117
ELSA,internet_use,unexposed,declined,759,12.866587557213089
ELSA,internet_use,unexposed,improved,448,7.594507543651466
ELSA,internet_use,unexposed,maintained_healthy,2512,42.583488726902864
ELSA,internet_use,unexposed,remained_unhealthy,2180,36.95541617223258
HRS,internet_use,exposed,declined,9687,13.80366786838993
HRS,internet_use,exposed,improved,3610,5.144135542984168
HRS,internet_use,exposed,maintained_healthy,40720,58.02470895022586
HRS,internet_use,exposed,remained_unhealthy,16160,23.027487638400046
HRS,internet_use,unexposed,declined,9908,13.884918299279688
HRS,internet_use,unexposed,improved,4884,6.844362229883124
HRS,internet_use,unexposed,maintained_healthy,25139,35.22940665377393
HRS,internet_use,unexposed,remained_unhealthy,31427,44.04131281706326
SHARE,internet_use,exposed,declined,5640,11.552169104092417
SHARE,internet_use,exposed,improved,3266,6.689607144320184
SHARE,internet_use,exposed,maintained_healthy,31335,64.18213100651346
SHARE,internet_use,exposed,remained_unhealthy,8581,17.576092745073943
SHARE,internet_use,unexposed,declined,6537,14.26918711254693
SHARE,internet_use,unexposed,improved,3665,8.000087313367676
SHARE,internet_use,unexposed,maintained_healthy,14420,31.47646904741116
SHARE,internet_use,unexposed,remained_unhealthy,21190,46.25425652667423
CHARLS,social_participation,exposed,declined,4136,13.78620712642912
CHARLS,social_participation,exposed,improved,3208,10.692976900769974
CHARLS,social_participation,exposed,maintained_healthy,10244,34.14552848238392
CHARLS,social_participation,exposed,remained_unhealthy,12413,41.37528749041699
CHARLS,social_participation,unexposed,declined,4163,13.465519472117998
CHARLS,social_participation,unexposed,improved,3513,11.36304825980075
CHARLS,social_participation,unexposed,maintained_healthy,8285,26.798421529305216
CHARLS,social_participation,unexposed,remained_unhealthy,14955,48.37301073877604
ELSA,social_participation,exposed,declined,526,10.946930280957336
ELSA,social_participation,exposed,improved,299,6.222684703433923
ELSA,social_participation,exposed,maintained_healthy,2984,62.10197710718002
ELSA,social_participation,exposed,remained_unhealthy,996,20.72840790842872
ELSA,social_participation,unexposed,declined,2210,9.52750474219693
ELSA,social_participation,unexposed,improved,1431,6.169167097775478
ELSA,social_participation,unexposed,maintained_healthy,14617,63.015175030177616
ELSA,social_participation,unexposed,remained_unhealthy,4938,21.288153129849974
HRS,social_participation,exposed,declined,2999,14.802566633761105
HRS,social_participation,exposed,improved,1184,5.844027640671273
HRS,social_participation,exposed,maintained_healthy,9765,48.19842053307009
HRS,social_participation,exposed,remained_unhealthy,6312,31.15498519249753
HRS,social_participation,unexposed,declined,2439,14.611790079079798
HRS,social_participation,unexposed,improved,920,5.511622334052241
HRS,social_participation,unexposed,maintained_healthy,6766,40.534387730649414
HRS,social_participation,unexposed,remained_unhealthy,6567,39.34219985621855
KLoSA,social_participation,exposed,declined,3429,16.6222308400795
KLoSA,social_participation,exposed,improved,2467,11.958892820786273
KLoSA,social_participation,exposed,maintained_healthy,7491,36.31295748703282
KLoSA,social_participation,exposed,remained_unhealthy,7242,35.10591885210141
KLoSA,social_participation,unexposed,declined,1612,12.825204869122445
KLoSA,social_participation,unexposed,improved,1200,9.547298910016707
KLoSA,social_participation,unexposed,maintained_healthy,2442,19.428753281884
KLoSA,social_participation,unexposed,remained_unhealthy,7315,58.19874293897684
MHAS,social_participation,exposed,declined,1393,13.429094765255952
MHAS,social_participation,exposed,improved,892,8.599248047816447
MHAS,social_participation,exposed,maintained_healthy,6297,60.70567820302709
MHAS,social_participation,exposed,remained_unhealthy,1791,17.26597898390051
MHAS,social_participation,unexposed,declined,2046,16.077322017916078
MHAS,social_participation,unexposed,improved,1066,8.376551940908376
MHAS,social_participation,unexposed,maintained_healthy,6774,53.22960867515323
MHAS,social_participation,unexposed,remained_unhealthy,2840,22.316517366022318
SHARE,social_participation,exposed,declined,4744,11.909424110056735
SHARE,social_participation,exposed,improved,2456,6.1655871868253245
SHARE,social_participation,exposed,maintained_healthy,25518,64.06085253803283
SHARE,social_participation,exposed,remained_unhealthy,7116,17.864136165085103
SHARE,social_participation,unexposed,declined,13022,13.444979040617838
SHARE,social_participation,unexposed,improved,7520,7.764263737171413
SHARE,social_participation,unexposed,maintained_healthy,41109,42.44429760257707
SHARE,social_participation,unexposed,remained_unhealthy,35203,36.34645961963368
