analysis,outcome,term,k,coef,se,odds_ratio,ci_low,ci_high,q,tau2,i2_pct,status,omitted_cohort
joint_exposure,next_healthy_aging_binary,both,3,0.5424083618244436,0.10524915031304205,1.7201446081970135,1.3995069936513698,2.114242720137736,32.32120234341608,0.030630094054934297,93.81211138512177,ok,CHARLS
joint_exposure,next_healthy_aging_binary,both,3,0.5317509333911604,0.11389427907065103,1.7019096317135955,1.3614062139624346,2.127576886908076,47.44591504177872,0.03709370384316073,95.78467398460143,ok,ELSA
joint_exposure,next_healthy_aging_binary,both,3,0.49724768522197343,0.13755143462050412,1.6441897097836093,1.2556418465557977,2.1529704582350253,50.28623592118496,0.0539550630734945,96.02276853027007,ok,HRS
joint_exposure,next_healthy_aging_binary,both,3,0.42301016410844416,0.04357337373310532,1.5265498119054373,1.401588661650683,1.6626520975733456,3.64284368017159,0.002568519845088618,45.09783631709958,ok,SHARE
joint_exposure,next_healthy_aging_binary,internet_only,3,0.4077434751411677,0.018341395003929988,1.5034214467251688,1.4503346761439717,1.5584513586082294,0.03966581618776184,0.0,0.0,ok,CHARLS
joint_exposure,next_healthy_aging_binary,internet_only,3,0.4017337098175449,0.019107642277316116,1.4944133320877049,1.439481142506409,1.5514417946684105,1.8228347232790854,0.0,0.0,ok,ELSA
joint_exposure,next_healthy_aging_binary,internet_only,3,0.3998025016541727,0.019203826016524397,1.4915300938240628,1.4364330652915887,1.548740470083249,1.7226905410046904,0.0,0.0,ok,HRS
joint_exposure,next_healthy_aging_binary,internet_only,3,0.39231845182083236,0.031649222633625594,1.480409075310567,1.3913659680961439,1.5751506652564948,1.6859914536285265,0.0,0.0,ok,SHARE
joint_exposure,next_healthy_aging_binary,social_only,3,0.16465391198446036,0.08286304122858447,1.1789850155112815,1.00224486712603,1.3868922779180932,16.649178927384973,0.01742922180604617,87.987395602372,ok,CHARLS
joint_exposure,next_healthy_aging_binary,social_only,3,0.15501792742751955,0.07876645078171852,1.16767889439623,1.000635885985178,1.3626075373820825,35.612403507131766,0.017418365902283132,94.38397916725985,ok,ELSA
joint_exposure,next_healthy_aging_binary,social_only,3,0.1523611848728011,0.09046505858599692,1.1645807894431492,0.9753583569179377,1.3905129386758688,35.04065054050938,0.021918136772166988,94.29234340929868,ok,HRS
joint_exposure,next_healthy_aging_binary,social_only,3,0.07512069311808141,0.020517324522581308,1.078014251934725,1.035523128358219,1.1222489344268651,0.23038195389446672,0.0,0.0,ok,SHARE
