analysis,domain,outcome,exposure,term,k,coef,se,odds_ratio,ci_low,ci_high,q,tau2,i2_pct,status
domain_outcome,cognition_not_low,next_cognition_not_low,internet_use,internet_use,4,0.915350158950828,0.07905795335880898,2.4976496731918343,2.1391243656470325,2.9162651738148746,36.18152369368648,0.02009644865511233,91.70847522785922,ok
domain_outcome,cognition_not_low,next_cognition_not_low,social_participation,social_participation,6,0.29952538846615057,0.07507878541242087,1.349218301024781,1.1645921839727889,1.5631137224451184,123.65625709715707,0.03177667820198701,95.95653295888498,ok
domain_outcome,good_self_rated_health,next_good_srh,internet_use,internet_use,4,0.3684021008911519,0.05607257406568692,1.4454231280657155,1.294985963015398,1.6133364212554295,53.19868619798991,0.011458039693497967,94.3607629917121,ok
domain_outcome,good_self_rated_health,next_good_srh,social_participation,social_participation,6,0.15240344459454663,0.08875867191501277,1.164630005343179,0.9786672788786052,1.3859286793565087,321.55227436592503,0.045957007821462205,98.44504287526512,ok
domain_outcome,no_adl_limitation,next_no_adl_limitation,internet_use,internet_use,4,0.428463800109356,0.03405960339809932,1.5348978016750177,1.4357781649343415,1.6408602102501944,10.514610239662348,0.0030148180143211994,71.46827194142065,ok
domain_outcome,no_adl_limitation,next_no_adl_limitation,social_participation,social_participation,6,0.27909815771242846,0.07066402320744705,1.3219370958226577,1.1509603400847808,1.518312685894389,127.34993557853385,0.028189420527440428,96.07381034212096,ok
domain_outcome,no_multimorbidity,next_no_multimorbidity,internet_use,internet_use,4,0.22604266569018738,0.05040026389201222,1.2536291510901445,1.135710161773885,1.3837914825102116,17.85914571638967,0.0077773256652206154,83.20188407866091,ok
domain_outcome,no_multimorbidity,next_no_multimorbidity,social_participation,social_participation,6,0.06794366347596142,0.06376316107419515,1.0703050095163762,0.944563717940771,1.2127851108798169,86.71298079151421,0.022102650714003212,94.23385062494668,ok
domain_outcome,not_depressive,next_not_depressive,internet_use,internet_use,4,0.3267858337787559,0.01798944843885911,1.3865045029503782,1.338469122312703,1.4362637917115515,4.8516970550137,0.00047435022789219113,38.16596613550248,ok
domain_outcome,not_depressive,next_not_depressive,social_participation,social_participation,6,0.1742907882845831,0.053904083595147534,1.1904016703560394,1.0710492596063177,1.3230541210656472,121.14284509469425,0.01637977449591061,95.87264109895088,ok
